ajmaline	2
amiodarone	2
amitriptyline	4
azimilide	2
bepridil	3
chlorpromazine	3
cibenzoline	5
cisapride	2
clozapine	4
desipramine	4
diltiazem	5
disopyramide	2
dl-sotalol	2
dofetilide	2
flecainide	3
fluvoxamine	4
halofantrine	3
imipramine	4
loratadine	5
methadone	2
mexiletine	4
mibefradil	4
nifedipine	4
nitrendipine	5
ondansetron	2
pentamidine	3
phenytoin	5
pimozide	3
prenylamine	2
propafenone	4
propranolol	5
quetiapine	5
quinidine	2
ranolazine	4
risperidone	5
sertindole	2
tedisamil	2
terfenadine	2
terodiline	2
thioridazine	3
verapamil	5
